,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
159,TX,728552.0,5184897.0,5913449.0,,646143.0,15364.0,,5913449,2020-09-25,Texas,31.054487,-97.563461
160,UT,68530.0,726687.0,795217.0,3668.0,53360.0,448.0,3668.0,795217,2020-09-25,Utah,40.150032,-111.862434
161,VA,144433.0,1836216.0,1973499.0,18150.0,17185.0,3136.0,18150.0,1980997,2020-09-25,Virginia,37.769337,-78.169968
162,VI,1296.0,18676.0,19972.0,,1209.0,19.0,,19980,2020-09-25,Virgin Islands,18.04,-64.84
163,VT,1731.0,157548.0,159279.0,,1576.0,58.0,,159279,2020-09-25,Vermont,44.045876,-72.710686
164,WA,84238.0,1699041.0,1783279.0,7357.0,,2080.0,7357.0,1783279,2020-09-25,Washington,47.400902,-121.490494
165,WI,117329.0,1383645.0,1500974.0,6962.0,92366.0,1284.0,6962.0,1501168,2020-09-25,Wisconsin,44.268543,-89.616508
166,WV,14953.0,520441.0,535394.0,,10968.0,330.0,,535394,2020-09-25,West Virginia,38.491226,-80.954453
167,WY,5420.0,92406.0,97826.0,256.0,4450.0,50.0,256.0,97826,2020-09-25,Wyoming,42.755966,-107.30249
168,AK,7941.0,425257.0,433198.0,,2731.0,45.0,,433198,2020-09-24,Alaska,61.370716,-152.404419
169,AL,148206.0,944747.0,1078180.0,16778.0,64583.0,2506.0,16778.0,1092953,2020-09-24,Alabama,32.806671,-86.79113
170,AR,79049.0,840737.0,917413.0,5160.0,70737.0,1246.0,5160.0,919786,2020-09-24,Arkansas,34.969704,-92.373123
171,AS,0.0,1571.0,1571.0,,,0.0,,1571,2020-09-24,American Samoa,-14.2,-170.69
172,AZ,215852.0,1204565.0,1415991.0,21942.0,34393.0,5559.0,21942.0,1420417,2020-09-24,Arizona,33.729759,-111.431221
173,CA,790640.0,13162217.0,13952857.0,,,15314.0,,13952857,2020-09-24,California,36.116203,-119.681564
174,CO,66669.0,786923.0,1245745.0,7444.0,6351.0,1926.0,7444.0,853592,2020-09-24,Colorado,39.059811,-105.311104
175,CT,56472.0,1449001.0,1505473.0,11560.0,9310.0,4499.0,11560.0,1505473,2020-09-24,Connecticut,41.597782,-72.755371
176,DC,15106.0,352761.0,367867.0,,11956.0,621.0,,367867,2020-09-24,District of Columbia,38.897438,-77.026817
177,DE,19947.0,257969.0,277916.0,,10487.0,630.0,,277916,2020-09-24,Delaware,39.318523,-75.507141
178,FL,693040.0,4486459.0,5179499.0,43621.0,,13961.0,43621.0,5183500,2020-09-24,Florida,27.766279,-81.686783
179,GA,311046.0,2535146.0,2824816.0,27903.0,,6822.0,27903.0,2846192,2020-09-24,Georgia,33.040619,-83.643074
180,GU,2263.0,45424.0,47687.0,,1568.0,38.0,,47687,2020-09-24,Guam,13.45,144.78
181,HI,11689.0,275096.0,286785.0,763.0,5125.0,122.0,763.0,286785,2020-09-24,Hawaii,21.094318,-157.498337
182,IA,81071.0,657509.0,738580.0,,61509.0,1302.0,,738580,2020-09-24,Iowa,42.011539,-93.210526
183,ID,38743.0,258700.0,294063.0,1754.0,20901.0,454.0,1754.0,297443,2020-09-24,Idaho,44.240459,-114.478828
184,IL,283569.0,5012307.0,5295876.0,,,8774.0,,5295876,2020-09-24,Illinois,40.349457,-88.986137
185,IN,114236.0,1217372.0,1331608.0,12388.0,90979.0,3548.0,12388.0,1331608,2020-09-24,Indiana,39.849426,-86.258278
186,KS,55226.0,437055.0,492281.0,2766.0,2008.0,621.0,2766.0,492281,2020-09-24,Kansas,38.5266,-96.726486
187,KY,64158.0,1169777.0,1226385.0,5119.0,11570.0,1137.0,5119.0,1233935,2020-09-24,Kentucky,37.66814,-84.670067
188,LA,164446.0,2073088.0,2237534.0,,149640.0,5423.0,,2237534,2020-09-24,Louisiana,31.169546,-91.867805
189,MA,128993.0,2017533.0,3642716.0,12606.0,111479.0,9362.0,12606.0,2146526,2020-09-24,Massachusetts,42.230171,-71.530106
190,MD,121800.0,1439779.0,1561579.0,15299.0,7416.0,3909.0,15299.0,1561579,2020-09-24,Maryland,39.063946,-76.802101
191,ME,5215.0,394751.0,399966.0,442.0,4478.0,140.0,442.0,399966,2020-09-24,Maine,44.693947,-69.381927
192,MI,132337.0,3330487.0,3462824.0,,90216.0,7019.0,,3462824,2020-09-24,Michigan,43.326618,-84.536095
193,MN,93012.0,1243839.0,1895302.0,7335.0,83862.0,2040.0,7335.0,1336851,2020-09-24,Minnesota,45.694454,-93.900192
194,MO,118311.0,1141220.0,1259531.0,,,1952.0,,1259531,2020-09-24,Missouri,38.456085,-92.288368
195,MP,69.0,14776.0,14845.0,4.0,29.0,2.0,4.0,14845,2020-09-24,Northern Mariana Islands,15.09,145.67
196,MS,95310.0,626449.0,721759.0,5607.0,85327.0,2874.0,5607.0,721759,2020-09-24,Mississippi,32.741646,-89.678696
